Frequency(Hz),Value Type:,RLGC1[1 1] - (Line_1_5:Line_1_5),RLGC1[1 2] - (Line_1_5:Line_2_6),RLGC1[1 3] - (Line_1_5:Line_3_7),RLGC1[1 4] - (Line_1_5:Line_4_8),RLGC1[2 2] - (Line_2_6:Line_2_6),RLGC1[2 3] - (Line_2_6:Line_3_7),RLGC1[2 4] - (Line_2_6:Line_4_8),RLGC1[3 3] - (Line_3_7:Line_3_7),RLGC1[3 4] - (Line_3_7:Line_4_8),RLGC1[4 4] - (Line_4_8:Line_4_8)
3e+09,Capacitance,4.24208e-13,-1.05928e-13,-3.91e-15,-1.30703e-15,4.31879e-13,-5.04036e-14,-3.89444e-15,4.32008e-13,-1.05943e-13,4.23499e-13
3.1e+09,Resistance,0.230698,0.0190086,0.00523893,-0.00309138,0.233076,0.0262842,0.00524248,0.232281,0.0186676,0.222761
3.1e+09,Inductance,2.07598e-09,7.58109e-10,2.29884e-10,1.25179e-10,2.06138e-09,4.68165e-10,2.29888e-10,2.06105e-09,7.58347e-10,2.07802e-09
3.1e+09,Conductance,0.000139053,-2.67706e-05,-2.95656e-07,1.07371e-06,0.000139966,-1.34904e-05,-2.71958e-07,0.000140077,-2.68937e-05,0.00013889
3.1e+09,Capacitance,4.24066e-13,-1.05877e-13,-3.90404e-15,-1.29733e-15,4.31732e-13,-5.03779e-14,-3.88849e-15,4.31861e-13,-1.05892e-13,4.23357e-13
3.2e+09,Resistance,0.234105,0.0191915,0.00540271,-0.00294367,0.236433,0.0265424,0.00541594,0.235642,0.0188506,0.226044
3.2e+09,Inductance,2.0758e-09,7.58115e-10,2.29937e-10,1.25227e-10,2.0612e-09,4.68182e-10,2.2994e-10,2.06086e-09,7.58352e-10,2.07784e-09
3.2e+09,Conductance,0.00014315,-2.74738e-05,-2.83785e-07,1.08458e-06,0.000144076,-1.37667e-05,-2.60943e-07,0.000144189,-2.75966e-05,0.000142975
3.2e+09,Capacitance,4.2393e-13,-1.05827e-13,-3.89833e-15,-1.2879e-15,4.31591e-13,-5.03529e-14,-3.88279e-15,4.3172e-13,-1.05843e-13,4.23223e-13
3.3e+09,Resistance,0.237413,0.0193573,0.00557247,-0.00276746,0.239695,0.0268018,0.00559615,0.238909,0.0190176,0.229232
3.3e+09,Inductance,2.07563e-09,7.58127e-10,2.29994e-10,1.25279e-10,2.06104e-09,4.68204e-10,2.29997e-10,2.0607e-09,7.58364e-10,2.07768e-09
3.3e+09,Conductance,0.000147216,-2.81612e-05,-2.69068e-07,1.091e-06,0.000148151,-1.40278e-05,-2.47165e-07,0.000148264,-2.82835e-05,0.000147026
3.3e+09,Capacitance,4.23801e-13,-1.05779e-13,-3.89282e-15,-1.27871e-15,4.31457e-13,-5.03288e-14,-3.87729e-15,4.31585e-13,-1.05795e-13,4.23094e-13
3.4e+09,Resistance,0.240632,0.0195103,0.00574897,-0.00256396,0.242873,0.0270673,0.00578378,0.242093,0.0191726,0.232336
3.4e+09,Inductance,2.07548e-09,7.58145e-10,2.30056e-10,1.25336e-10,2.06089e-09,4.68232e-10,2.30058e-10,2.06055e-09,7.58382e-10,2.07753e-09
3.4e+09,Conductance,0.000151252,-2.88347e-05,-2.51651e-07,1.0932e-06,0.000152195,-1.42746e-05,-2.3076e-07,0.000152308,-2.89561e-05,0.00015105
3.4e+09,Capacitance,4.23678e-13,-1.05732e-13,-3.88748e-15,-1.26979e-15,4.31328e-13,-5.03054e-14,-3.87198e-15,4.31457e-13,-1.05748e-13,4.22971e-13
3.5e+09,Resistance,0.243773,0.0196547,0.00593298,-0.0023344,0.24598,0.0273435,0.00597963,0.245206,0.0193199,0.235365
3.5e+09,Inductance,2.07534e-09,7.5817e-10,2.30122e-10,1.25398e-10,2.06075e-09,4.68265e-10,2.30124e-10,2.06042e-09,7.58406e-10,2.0774e-09
3.5e+09,Conductance,0.000155264,-2.94959e-05,-2.31709e-07,1.09139e-06,0.000156211,-1.4508e-05,-2.11881e-07,0.000156325,-2.96162e-05,0.000155048
3.5e+09,Capacitance,4.2356e-13,-1.05687e-13,-3.8823e-15,-1.26113e-15,4.31205e-13,-5.02827e-14,-3.86683e-15,4.31334e-13,-1.05703e-13,4.22854e-13
3.6e+09,Resistance,0.246846,0.0197942,0.00612528,-0.00208011,0.249024,0.0276346,0.00618428,0.248257,0.0194631,0.238329
3.6e+09,Inductance,2.07522e-09,7.58201e-10,2.30193e-10,1.25464e-10,2.06064e-09,4.68304e-10,2.30194e-10,2.0603e-09,7.58437e-10,2.07729e-09
3.6e+09,Conductance,0.000159256,-3.01463e-05,-2.09423e-07,1.08584e-06,0.000160204,-1.47288e-05,-1.90713e-07,0.000160318,-3.02654e-05,0.000159025
