Frequency(Hz),Value Type:,RLGC1[1 1] - (Line_1_3:Line_1_3),RLGC1[1 2] - (Line_1_3:Line_2_4),RLGC1[2 2] - (Line_2_4:Line_2_4)
9.1e+09,Inductance,5.27628e-09,1.96494e-09,5.27628e-09
9.1e+09,Conductance,0.00104349,-0.000220585,0.00104349
9.1e+09,Capacitance,1.01799e-12,-2.56299e-13,1.01799e-12
9.2e+09,Resistance,1.42231,0.0943495,1.42231
9.2e+09,Inductance,5.27618e-09,1.96495e-09,5.27618e-09
9.2e+09,Conductance,0.00105398,-0.000222186,0.00105398
9.2e+09,Capacitance,1.018e-12,-2.56304e-13,1.018e-12
9.3e+09,Resistance,1.42875,0.0942165,1.42875
9.3e+09,Inductance,5.2761e-09,1.96494e-09,5.2761e-09
9.3e+09,Conductance,0.00106509,-0.000224345,0.00106509
9.3e+09,Capacitance,1.018e-12,-2.56303e-13,1.018e-12
9.4e+09,Resistance,1.43621,0.0962175,1.43621
9.4e+09,Inductance,5.27602e-09,1.96493e-09,5.27602e-09
9.4e+09,Conductance,0.0010762,-0.000226812,0.0010762
9.4e+09,Capacitance,1.01799e-12,-2.563e-13,1.01799e-12
9.5e+09,Resistance,1.4445,0.0960097,1.4445
9.5e+09,Inductance,5.27593e-09,1.96493e-09,5.27593e-09
9.5e+09,Conductance,0.00108679,-0.00022862,0.00108679
9.5e+09,Capacitance,1.01799e-12,-2.56303e-13,1.01799e-12
9.6e+09,Resistance,1.45183,0.0964149,1.45183
9.6e+09,Inductance,5.27584e-09,1.96492e-09,5.27584e-09
9.6e+09,Conductance,0.00109772,-0.000230814,0.00109772
9.6e+09,Capacitance,1.01799e-12,-2.56302e-13,1.01799e-12
9.7e+09,Resistance,1.46033,0.0981976,1.46033
9.7e+09,Inductance,5.27575e-09,1.96491e-09,5.27575e-09
9.7e+09,Conductance,0.00110853,-0.000233137,0.00110853
9.7e+09,Capacitance,1.01799e-12,-2.563e-13,1.01799e-12
9.8e+09,Resistance,1.46799,0.0993748,1.46799
9.8e+09,Inductance,5.27568e-09,1.96492e-09,5.27568e-09
9.8e+09,Conductance,0.0011194,-0.000235228,0.0011194
9.8e+09,Capacitance,1.01799e-12,-2.56301e-13,1.01799e-12
9.9e+09,Resistance,1.47497,0.0992547,1.47497
9.9e+09,Inductance,5.2756e-09,1.96491e-09,5.2756e-09
9.9e+09,Conductance,0.0011303,-0.000237281,0.0011303
9.9e+09,Capacitance,1.01799e-12,-2.56301e-13,1.01799e-12
1e+10,Resistance,1.48333,0.0997882,1.48333
1e+10,Inductance,5.27551e-09,1.9649e-09,5.27551e-09
1e+10,Conductance,0.00114095,-0.000239367,0.00114095
1e+10,Capacitance,1.01799e-12,-2.56301e-13,1.01799e-12
1.01e+10,Resistance,1.49139,0.100563,1.49139
1.01e+10,Inductance,5.27543e-09,1.9649e-09,5.27543e-09
1.01e+10,Conductance,0.00115166,-0.000241367,0.00115166
1.01e+10,Capacitance,1.01799e-12,-2.56302e-13,1.01799e-12
1.02e+10,Resistance,1.49715,0.099965,1.49715
1.02e+10,Inductance,5.27536e-09,1.96489e-09,5.27536e-09
1.02e+10,Conductance,0.00116274,-0.000243447,0.00116274
1.02e+10,Capacitance,1.01799e-12,-2.56302e-13,1.01799e-12
1.03e+10,Resistance,1.50457,0.100545,1.50457
1.03e+10,Inductance,5.27529e-09,1.96489e-09,5.27529e-09
