Frequency(Hz),Value Type:,RLGC1[1 1] - (Line_1_3:Line_1_3),RLGC1[1 2] - (Line_1_3:Line_2_4),RLGC1[2 2] - (Line_2_4:Line_2_4)
9.6e+09,Resistance,4.91101,-0.97004,0.292259
9.6e+09,Inductance,5.30247e-09,1.95554e-09,5.2721e-09
9.6e+09,Conductance,0.000673696,0.000197664,0.00168888
9.6e+09,Capacitance,1.00735e-12,-2.50381e-13,1.0154e-12
9.7e+09,Resistance,7.77159,2.96249,1.89819
9.7e+09,Inductance,5.41329e-09,2.02117e-09,5.25687e-09
9.7e+09,Conductance,-1.3847e-05,-0.00040527,0.000920289
9.7e+09,Capacitance,9.87011e-13,-2.59027e-13,1.02008e-12
9.8e+09,Resistance,2.072,0.380982,4.35632
9.8e+09,Inductance,5.26284e-09,1.91151e-09,5.24308e-09
9.8e+09,Conductance,0.000496602,-0.000270195,0.00132775
9.8e+09,Capacitance,1.02373e-12,-2.52269e-13,1.01538e-12
9.9e+09,Resistance,2.94627,-2.72487,3.04796
9.9e+09,Inductance,5.32435e-09,1.96116e-09,5.36613e-09
9.9e+09,Conductance,-0.000187485,0.000730847,0.00113606
9.9e+09,Capacitance,9.98619e-13,-2.41327e-13,9.98075e-13
1e+10,Resistance,2.22117,0.803904,1.89612
1e+10,Inductance,5.17027e-09,1.85612e-09,5.21233e-09
1e+10,Conductance,0.000772412,-0.000239792,0.000616006
1e+10,Capacitance,1.03035e-12,-2.48534e-13,1.02689e-12
1.01e+10,Resistance,2.82423,1.39379,0.622792
1.01e+10,Inductance,5.18149e-09,1.89902e-09,5.24092e-09
1.01e+10,Conductance,0.00102114,-0.000432623,0.000575256
1.01e+10,Capacitance,1.02928e-12,-2.5506e-13,1.02495e-12
1.02e+10,Resistance,6.14811,4.30967,6.74924
1.02e+10,Inductance,5.31408e-09,2.07661e-09,5.36792e-09
