Frequency(Hz),Value Type:,RLGC1[1 1] - (Line_1_5:Line_1_5),RLGC1[1 2] - (Line_1_5:Line_2_6),RLGC1[1 3] - (Line_1_5:Line_3_7),RLGC1[1 4] - (Line_1_5:Line_4_8),RLGC1[2 2] - (Line_2_6:Line_2_6),RLGC1[2 3] - (Line_2_6:Line_3_7),RLGC1[2 4] - (Line_2_6:Line_4_8),RLGC1[3 3] - (Line_3_7:Line_3_7),RLGC1[3 4] - (Line_3_7:Line_4_8),RLGC1[4 4] - (Line_4_8:Line_4_8)
2.2e+09,Capacitance,4.25456e-13,-1.06311e-13,-4.20913e-15,-1.33679e-15,4.33193e-13,-5.05718e-14,-4.19373e-15,4.33311e-13,-1.0633e-13,4.24788e-13
2.3e+09,Resistance,0.185798,0.0181018,0.00266476,-0.00659464,0.187607,0.0303977,0.00289921,0.186764,0.0176171,0.180003
2.3e+09,Inductance,2.08016e-09,7.59892e-10,2.31835e-10,1.26463e-10,2.06558e-09,4.69725e-10,2.31837e-10,2.06527e-09,7.60124e-10,2.08201e-09
2.3e+09,Conductance,9.96723e-05,-1.90345e-05,1.22032e-06,1.8212e-06,9.84896e-05,-9.37524e-06,1.19e-06,9.85386e-05,-1.89853e-05,9.94993e-05
2.3e+09,Capacitance,4.25277e-13,-1.06257e-13,-4.20338e-15,-1.32805e-15,4.33014e-13,-5.05419e-14,-4.18791e-15,4.33131e-13,-1.06276e-13,4.24609e-13
2.4e+09,Resistance,0.190075,0.018867,0.00298587,-0.00716846,0.192382,0.0313806,0.00322903,0.19153,0.0183788,0.184117
2.4e+09,Inductance,2.07992e-09,7.59871e-10,2.31841e-10,1.26477e-10,2.06534e-09,4.69688e-10,2.31843e-10,2.06503e-09,7.60103e-10,2.08178e-09
2.4e+09,Conductance,0.000103916,-1.98521e-05,1.19695e-06,2.02085e-06,0.00010277,-9.71578e-06,1.166e-06,0.000102821,-1.98031e-05,0.000103734
2.4e+09,Capacitance,4.25107e-13,-1.06205e-13,-4.19614e-15,-1.32026e-15,4.32842e-13,-5.05133e-14,-4.18061e-15,4.3296e-13,-1.06224e-13,4.24439e-13
2.5e+09,Resistance,0.194358,0.0196213,0.00336812,-0.00767558,0.197151,0.032326,0.0036194,0.196292,0.0191329,0.188243
2.5e+09,Inductance,2.0797e-09,7.5985e-10,2.31846e-10,1.26496e-10,2.06512e-09,4.69655e-10,2.31847e-10,2.06481e-09,7.60082e-10,2.08157e-09
2.5e+09,Conductance,0.000108155,-2.0657e-05,1.15987e-06,2.21545e-06,0.000107053,-1.00401e-05,1.12857e-06,0.000107107,-2.0609e-05,0.000107963
2.5e+09,Capacitance,4.24946e-13,-1.06153e-13,-4.18747e-15,-1.31335e-15,4.32679e-13,-5.0486e-14,-4.17189e-15,4.32797e-13,-1.06172e-13,4.24278e-13
2.6e+09,Resistance,0.198644,0.0203602,0.00380531,-0.00810595,0.201902,0.0332325,0.00406408,0.201039,0.0198747,0.192378
2.6e+09,Inductance,2.07949e-09,7.59831e-10,2.31849e-10,1.26518e-10,2.0649e-09,4.69627e-10,2.31849e-10,2.0646e-09,7.60062e-10,2.08137e-09
2.6e+09,Conductance,0.000112388,-2.14492e-05,1.11137e-06,2.40174e-06,0.000111338,-1.03496e-05,1.07999e-06,0.000111395,-2.1403e-05,0.000112186
2.6e+09,Capacitance,4.24793e-13,-1.06103e-13,-4.17745e-15,-1.30724e-15,4.32522e-13,-5.046e-14,-4.16183e-15,4.3264e-13,-1.06122e-13,4.24124e-13
2.7e+09,Resistance,0.202932,0.0210801,0.004291,-0.00845001,0.206625,0.0340991,0.00455662,0.205759,0.0206002,0.196518
2.7e+09,Inductance,2.07929e-09,7.59813e-10,2.31852e-10,1.26543e-10,2.0647e-09,4.69603e-10,2.31851e-10,2.06439e-09,7.60045e-10,2.08118e-09
2.7e+09,Conductance,0.000116617,-2.22293e-05,1.05383e-06,2.57653e-06,0.000115625,-1.06454e-05,1.02264e-06,0.000115684,-2.21855e-05,0.000116406
2.7e+09,Capacitance,4.24647e-13,-1.06054e-13,-4.16618e-15,-1.30184e-15,4.32373e-13,-5.04351e-14,-4.15053e-15,4.32491e-13,-1.06073e-13,4.23978e-13
2.8e+09,Resistance,0.207216,0.0217781,0.00481871,-0.00869887,0.211308,0.0349251,0.00509051,0.210441,0.0213062,0.200659
2.8e+09,Inductance,2.0791e-09,7.59797e-10,2.31854e-10,1.26572e-10,2.06451e-09,4.69584e-10,2.31853e-10,2.0642e-09,7.60029e-10,2.08101e-09
2.8e+09,Conductance,0.000120843,-2.29977e-05,9.89615e-07,2.7368e-06,0.000119912,-1.09291e-05,9.58844e-07,0.000119975,-2.29569e-05,0.000120622
2.8e+09,Capacitance,4.24507e-13,-1.06005e-13,-4.15378e-15,-1.29706e-15,4.32229e-13,-5.04112e-14,-4.13811e-15,4.32348e-13,-1.06024e-13,4.23839e-13
2.9e+09,Resistance,0.211492,0.0224522,0.00538208,-0.00884447,0.215943,0.0357106,0.0056594,0.215076,0.0219904,0.204794
2.9e+09,Inductance,2.07893e-09,7.59784e-10,2.31855e-10,1.26604e-10,2.06433e-09,4.6957e-10,2.31854e-10,2.06402e-09,7.60016e-10,2.08084e-09
2.9e+09,Conductance,0.000125066,-2.37551e-05,9.2102e-07,2.87972e-06,0.000124201,-1.12019e-05,8.90898e-07,0.000124266,-2.37177e-05,0.000124836
2.9e+09,Capacitance,4.24374e-13,-1.05958e-13,-4.14038e-15,-1.29278e-15,4.32091e-13,-5.03883e-14,-4.1247e-15,4.3221e-13,-1.05977e-13,4.23706e-13
3e+09,Resistance,0.215754,0.0231008,0.00597495,-0.00887977,0.220519,0.0364557,0.00625713,0.219655,0.0226508,0.208918
3e+09,Inductance,2.07876e-09,7.59774e-10,2.31858e-10,1.26639e-10,2.06416e-09,4.6956e-10,2.31856e-10,2.06385e-09,7.60005e-10,2.08068e-09
3e+09,Conductance,0.000129288,-2.45021e-05,8.50234e-07,3.00273e-06,0.000128489,-1.14653e-05,8.20965e-07,0.000128557,-2.44687e-05,0.000129048
3e+09,Capacitance,4.24247e-13,-1.05912e-13,-4.12611e-15,-1.28889e-15,4.31959e-13,-5.03662e-14,-4.11042e-15,4.32078e-13,-1.05931e-13,4.23579e-13
3.1e+09,Resistance,0.219997,0.023723,0.00659151,-0.00879897,0.225031,0.0371612,0.0068779,0.224171,0.0232864,0.213026
3.1e+09,Inductance,2.07861e-09,7.59767e-10,2.31861e-10,1.26676e-10,2.06399e-09,4.69555e-10,2.31859e-10,2.06369e-09,7.59998e-10,2.08053e-09
3.1e+09,Conductance,0.000133507,-2.52395e-05,7.79289e-07,3.10361e-06,0.000132778,-1.17205e-05,7.51056e-07,0.000132849,-2.52105e-05,0.000133258
