Frequency(Hz),Value Type:,RLGC1[1 1] - (Line_1_2:Line_1_2)
1.26e+10,Resistance,0.865777
1.26e+10,Inductance,3.73428e-09
1.26e+10,Conductance,0.00218291
1.26e+10,Capacitance,1.4772e-12
1.27e+10,Resistance,0.869271
1.27e+10,Inductance,3.73425e-09
1.27e+10,Conductance,0.00219977
1.27e+10,Capacitance,1.47719e-12
1.28e+10,Resistance,0.87263
1.28e+10,Inductance,3.73422e-09
1.28e+10,Conductance,0.00221667
1.28e+10,Capacitance,1.4772e-12
1.29e+10,Resistance,0.876097
1.29e+10,Inductance,3.73419e-09
1.29e+10,Conductance,0.00223353
1.29e+10,Capacitance,1.4772e-12
1.3e+10,Resistance,0.879425
1.3e+10,Inductance,3.73417e-09
1.3e+10,Conductance,0.00225043
1.3e+10,Capacitance,1.4772e-12
1.31e+10,Resistance,0.882897
1.31e+10,Inductance,3.73413e-09
1.31e+10,Conductance,0.00226727
1.31e+10,Capacitance,1.4772e-12
1.32e+10,Resistance,0.886155
1.32e+10,Inductance,3.73411e-09
1.32e+10,Conductance,0.00228418
1.32e+10,Capacitance,1.4772e-12
1.33e+10,Resistance,0.889609
1.33e+10,Inductance,3.73408e-09
1.33e+10,Conductance,0.00230101
1.33e+10,Capacitance,1.4772e-12
1.34e+10,Resistance,0.892962
1.34e+10,Inductance,3.73406e-09
1.34e+10,Conductance,0.00231788
1.34e+10,Capacitance,1.4772e-12
1.35e+10,Resistance,0.896219
1.35e+10,Inductance,3.73403e-09
1.35e+10,Conductance,0.00233477
1.35e+10,Capacitance,1.4772e-12
1.36e+10,Resistance,0.899818
1.36e+10,Inductance,3.73401e-09
1.36e+10,Conductance,0.00235153
1.36e+10,Capacitance,1.4772e-12
1.37e+10,Resistance,0.902868
1.37e+10,Inductance,3.73398e-09
1.37e+10,Conductance,0.00236849
1.37e+10,Capacitance,1.4772e-12
1.38e+10,Resistance,0.906313
1.38e+10,Inductance,3.73396e-09
1.38e+10,Conductance,0.00238529
1.38e+10,Capacitance,1.4772e-12
1.39e+10,Resistance,0.909466
1.39e+10,Inductance,3.73393e-09
1.39e+10,Conductance,0.0024022
1.39e+10,Capacitance,1.4772e-12
1.4e+10,Resistance,0.912821
1.4e+10,Inductance,3.73391e-09
1.4e+10,Conductance,0.00241903
1.4e+10,Capacitance,1.4772e-12
1.41e+10,Resistance,0.916016
1.41e+10,Inductance,3.73388e-09
1.41e+10,Conductance,0.00243591
1.41e+10,Capacitance,1.4772e-12
1.42e+10,Resistance,0.919319
1.42e+10,Inductance,3.73386e-09
1.42e+10,Conductance,0.00245274
1.42e+10,Capacitance,1.4772e-12
1.43e+10,Resistance,0.92251
1.43e+10,Inductance,3.73383e-09
1.43e+10,Conductance,0.00246961
1.43e+10,Capacitance,1.4772e-12
1.44e+10,Resistance,0.925761
1.44e+10,Inductance,3.73381e-09
1.44e+10,Conductance,0.00248645
1.44e+10,Capacitance,1.4772e-12
1.45e+10,Resistance,0.928969
1.45e+10,Inductance,3.73378e-09
1.45e+10,Conductance,0.00250331
1.45e+10,Capacitance,1.4772e-12
1.46e+10,Resistance,0.932194
1.46e+10,Inductance,3.73376e-09
1.46e+10,Conductance,0.00252015
1.46e+10,Capacitance,1.4772e-12
1.47e+10,Resistance,0.935368
1.47e+10,Inductance,3.73373e-09
1.47e+10,Conductance,0.002537
1.47e+10,Capacitance,1.4772e-12
1.48e+10,Resistance,0.938571
1.48e+10,Inductance,3.73371e-09
1.48e+10,Conductance,0.00255384
1.48e+10,Capacitance,1.4772e-12
1.49e+10,Resistance,0.941705
1.49e+10,Inductance,3.73369e-09
1.49e+10,Conductance,0.0025707
1.49e+10,Capacitance,1.4772e-12
1.5e+10,Resistance,0.944878
1.5e+10,Inductance,3.73367e-09
1.5e+10,Conductance,0.00258754
1.5e+10,Capacitance,1.4772e-12
1.51e+10,Resistance,0.948042
1.51e+10,Inductance,3.73364e-09
1.51e+10,Conductance,0.00260437
1.51e+10,Capacitance,1.4772e-12
1.52e+10,Resistance,0.951167
1.52e+10,Inductance,3.73362e-09
1.52e+10,Conductance,0.00262122
1.52e+10,Capacitance,1.4772e-12
1.53e+10,Resistance,0.954287
1.53e+10,Inductance,3.7336e-09
1.53e+10,Conductance,0.00263806
1.53e+10,Capacitance,1.4772e-12
1.54e+10,Resistance,0.957428
1.54e+10,Inductance,3.73358e-09
1.54e+10,Conductance,0.00265488
1.54e+10,Capacitance,1.4772e-12
1.55e+10,Resistance,0.960547
1.55e+10,Inductance,3.73356e-09
1.55e+10,Conductance,0.00267172
1.55e+10,Capacitance,1.4772e-12
1.56e+10,Resistance,0.963648
1.56e+10,Inductance,3.73353e-09
1.56e+10,Conductance,0.00268855
1.56e+10,Capacitance,1.4772e-12
1.57e+10,Resistance,0.966728
1.57e+10,Inductance,3.73352e-09
1.57e+10,Conductance,0.00270539
1.57e+10,Capacitance,1.4772e-12
1.58e+10,Resistance,0.969806
1.58e+10,Inductance,3.73349e-09
1.58e+10,Conductance,0.00272222
1.58e+10,Capacitance,1.4772e-12
1.59e+10,Resistance,0.972896
1.59e+10,Inductance,3.73348e-09
1.59e+10,Conductance,0.00273904
1.59e+10,Capacitance,1.4772e-12
1.6e+10,Resistance,0.975953
1.6e+10,Inductance,3.73345e-09
1.6e+10,Conductance,0.00275587
1.6e+10,Capacitance,1.4772e-12
1.61e+10,Resistance,0.978991
1.61e+10,Inductance,3.73343e-09
1.61e+10,Conductance,0.00277271
1.61e+10,Capacitance,1.4772e-12
1.62e+10,Resistance,0.982062
1.62e+10,Inductance,3.73341e-09
1.62e+10,Conductance,0.00278952
1.62e+10,Capacitance,1.4772e-12
1.63e+10,Resistance,0.98506
1.63e+10,Inductance,3.73339e-09
1.63e+10,Conductance,0.00280636
1.63e+10,Capacitance,1.4772e-12
1.64e+10,Resistance,0.98811
1.64e+10,Inductance,3.73337e-09
1.64e+10,Conductance,0.00282317
1.64e+10,Capacitance,1.4772e-12
1.65e+10,Resistance,0.991093
1.65e+10,Inductance,3.73336e-09
1.65e+10,Conductance,0.00284001
1.65e+10,Capacitance,1.4772e-12
1.66e+10,Resistance,0.994132
1.66e+10,Inductance,3.73333e-09
1.66e+10,Conductance,0.00285681
1.66e+10,Capacitance,1.4772e-12
1.67e+10,Resistance,0.997088
1.67e+10,Inductance,3.73332e-09
1.67e+10,Conductance,0.00287365
1.67e+10,Capacitance,1.4772e-12
1.68e+10,Resistance,1.00011
1.68e+10,Inductance,3.7333e-09
1.68e+10,Conductance,0.00289045
1.68e+10,Capacitance,1.4772e-12
1.69e+10,Resistance,1.00309
1.69e+10,Inductance,3.73327e-09
1.69e+10,Conductance,0.00290727
1.69e+10,Capacitance,1.4772e-12
1.7e+10,Resistance,1.00604
1.7e+10,Inductance,3.73326e-09
1.7e+10,Conductance,0.00292409
1.7e+10,Capacitance,1.4772e-12
1.71e+10,Resistance,1.00903
1.71e+10,Inductance,3.73324e-09
1.71e+10,Conductance,0.00294089
1.71e+10,Capacitance,1.4772e-12
1.72e+10,Resistance,1.01196
1.72e+10,Inductance,3.73322e-09
1.72e+10,Conductance,0.00295772
1.72e+10,Capacitance,1.4772e-12
1.73e+10,Resistance,1.01489
1.73e+10,Inductance,3.7332e-09
1.73e+10,Conductance,0.00297454
1.73e+10,Capacitance,1.4772e-12
1.74e+10,Resistance,1.01786
1.74e+10,Inductance,3.73318e-09
1.74e+10,Conductance,0.00299133
1.74e+10,Capacitance,1.4772e-12
1.75e+10,Resistance,1.02074
1.75e+10,Inductance,3.73317e-09
1.75e+10,Conductance,0.00300816
1.75e+10,Capacitance,1.4772e-12
1.76e+10,Resistance,1.02368
1.76e+10,Inductance,3.73315e-09
1.76e+10,Conductance,0.00302496
1.76e+10,Capacitance,1.4772e-12
1.77e+10,Resistance,1.02664
1.77e+10,Inductance,3.73313e-09
1.77e+10,Conductance,0.00304175
1.77e+10,Capacitance,1.4772e-12
1.78e+10,Resistance,1.0295
1.78e+10,Inductance,3.73312e-09
1.78e+10,Conductance,0.00305858
1.78e+10,Capacitance,1.4772e-12
1.79e+10,Resistance,1.0324
1.79e+10,Inductance,3.7331e-09
1.79e+10,Conductance,0.00307538
1.79e+10,Capacitance,1.4772e-12
1.8e+10,Resistance,1.0353
1.8e+10,Inductance,3.73308e-09
1.8e+10,Conductance,0.00309218
1.8e+10,Capacitance,1.4772e-12
1.81e+10,Resistance,1.0382
1.81e+10,Inductance,3.73306e-09
1.81e+10,Conductance,0.00310897
1.81e+10,Capacitance,1.4772e-12
1.82e+10,Resistance,1.04102
1.82e+10,Inductance,3.73305e-09
1.82e+10,Conductance,0.00312579
1.82e+10,Capacitance,1.4772e-12
1.83e+10,Resistance,1.0439
1.83e+10,Inductance,3.73303e-09
1.83e+10,Conductance,0.00314259
1.83e+10,Capacitance,1.4772e-12
1.84e+10,Resistance,1.04676
