Frequency(Hz),Value Type:,RLGC1[1 1] - (Line_1_5:Line_1_5),RLGC1[1 2] - (Line_1_5:Line_2_6),RLGC1[1 3] - (Line_1_5:Line_3_7),RLGC1[1 4] - (Line_1_5:Line_4_8),RLGC1[2 2] - (Line_2_6:Line_2_6),RLGC1[2 3] - (Line_2_6:Line_3_7),RLGC1[2 4] - (Line_2_6:Line_4_8),RLGC1[3 3] - (Line_3_7:Line_3_7),RLGC1[3 4] - (Line_3_7:Line_4_8),RLGC1[4 4] - (Line_4_8:Line_4_8)
3.8e+08,Inductance,1.32298e-08,4.14436e-09,9.17997e-09,3.52669e-09,1.32588e-08,3.52925e-09,9.18163e-09,1.32312e-08,3.03876e-09,1.32468e-08
3.8e+08,Conductance,5.49525e-05,-4.90452e-06,-3.04997e-05,-1.36284e-06,5.4165e-05,-1.42293e-06,-2.97443e-05,5.42555e-05,-3.47377e-07,5.35464e-05
3.8e+08,Capacitance,1.57845e-12,-1.578e-13,-9.32734e-13,-4.71749e-14,1.57565e-12,-4.73023e-14,-9.29948e-13,1.54883e-12,-1.82835e-14,1.54586e-12
3.9e+08,Resistance,0.331244,0.125553,0.0957532,0.102305,0.331172,0.103092,0.0950247,0.330848,0.0885065,0.329082
3.9e+08,Inductance,1.32274e-08,4.14381e-09,9.17919e-09,3.52632e-09,1.32565e-08,3.52885e-09,9.18085e-09,1.32289e-08,3.03846e-09,1.32445e-08
3.9e+08,Conductance,5.63983e-05,-5.05694e-06,-3.12238e-05,-1.40591e-06,5.56579e-05,-1.46505e-06,-3.05091e-05,5.56808e-05,-3.68082e-07,5.50125e-05
3.9e+08,Capacitance,1.57837e-12,-1.57796e-13,-9.32688e-13,-4.7172e-14,1.57559e-12,-4.72961e-14,-9.29916e-13,1.54875e-12,-1.82807e-14,1.54579e-12
4e+08,Resistance,0.34001,0.131212,0.10103,0.107628,0.339822,0.10836,0.100382,0.339638,0.0935689,0.337811
4e+08,Inductance,1.32252e-08,4.14326e-09,9.17842e-09,3.52594e-09,1.32542e-08,3.52845e-09,9.18009e-09,1.32267e-08,3.03816e-09,1.32422e-08
4e+08,Conductance,5.78403e-05,-5.20915e-06,-3.19472e-05,-1.44933e-06,5.71468e-05,-1.50654e-06,-3.12739e-05,5.71027e-05,-3.88251e-07,5.64751e-05
4e+08,Capacitance,1.5783e-12,-1.57793e-13,-9.32645e-13,-4.71689e-14,1.57552e-12,-4.72899e-14,-9.29886e-13,1.54867e-12,-1.82778e-14,1.54573e-12
4.1e+08,Resistance,0.348836,0.136996,0.106418,0.113083,0.348551,0.113751,0.105869,0.348482,0.098759,0.346617
4.1e+08,Inductance,1.3223e-08,4.14272e-09,9.17767e-09,3.52555e-09,1.3252e-08,3.52805e-09,9.17934e-09,1.32245e-08,3.03786e-09,1.324e-08
