Frequency(Hz),Value Type:,RLGC1[1 1] - (Line_1_5:Line_1_5),RLGC1[1 2] - (Line_1_5:Line_2_6),RLGC1[1 3] - (Line_1_5:Line_3_7),RLGC1[1 4] - (Line_1_5:Line_4_8),RLGC1[2 2] - (Line_2_6:Line_2_6),RLGC1[2 3] - (Line_2_6:Line_3_7),RLGC1[2 4] - (Line_2_6:Line_4_8),RLGC1[3 3] - (Line_3_7:Line_3_7),RLGC1[3 4] - (Line_3_7:Line_4_8),RLGC1[4 4] - (Line_4_8:Line_4_8)
2.51e+09,Conductance,4.04499e-06,3.2519e-06,4.2307e-06,2.42767e-06,4.01469e-06,2.42458e-06,4.27608e-06,6.39173e-06,6.86074e-07,6.36593e-06
2.51e+09,Capacitance,3.19027e-13,-3.55177e-14,-2.03004e-13,-1.16864e-14,3.19101e-13,-1.16862e-14,-2.03074e-13,3.09663e-13,-5.55645e-15,3.09732e-13
2.61e+09,Resistance,76.3555,74.577,76.1587,74.0312,76.3495,74.033,76.1493,76.7461,73.3778,76.7354
2.61e+09,Inductance,7.34141e-09,2.39051e-09,5.15153e-09,1.96297e-09,7.3409e-09,1.96292e-09,5.15143e-09,7.36511e-09,1.59124e-09,7.36463e-09
2.61e+09,Conductance,4.29132e-06,3.4691e-06,4.61967e-06,2.60385e-06,4.27541e-06,2.59903e-06,4.6448e-06,6.7648e-06,7.84381e-07,6.75768e-06
2.61e+09,Capacitance,3.19018e-13,-3.55183e-14,-2.03008e-13,-1.16918e-14,3.19092e-13,-1.16914e-14,-2.03079e-13,3.09648e-13,-5.55182e-15,3.09717e-13
2.71e+09,Resistance,76.5571,74.6825,76.3601,74.1041,76.5511,74.106,76.3506,76.9665,73.4108,76.9554
2.71e+09,Inductance,7.33625e-09,2.3882e-09,5.14639e-09,1.96144e-09,7.33576e-09,1.96137e-09,5.14633e-09,7.35901e-09,1.59068e-09,7.35856e-09
2.71e+09,Conductance,4.54332e-06,3.70577e-06,5.02332e-06,2.7848e-06,4.54185e-06,2.77852e-06,5.02815e-06,7.14584e-06,8.97223e-07,7.15773e-06
2.71e+09,Capacitance,3.19009e-13,-3.55192e-14,-2.03012e-13,-1.16971e-14,3.19083e-13,-1.16965e-14,-2.03083e-13,3.09633e-13,-5.54763e-15,3.09702e-13
2.81e+09,Resistance,76.7606,74.7894,76.5632,74.1778,76.7545,74.1798,76.5536,77.1882,73.4439,77.1767
2.81e+09,Inductance,7.33135e-09,2.38612e-09,5.1415e-09,1.96013e-09,7.33088e-09,1.96006e-09,5.14147e-09,7.35319e-09,1.59034e-09,7.35278e-09
2.81e+09,Conductance,4.80239e-06,3.96184e-06,5.43985e-06,2.97142e-06,4.81514e-06,2.96398e-06,5.42472e-06,7.53668e-06,1.02483e-06,7.56756e-06
2.81e+09,Capacitance,3.19e-13,-3.55206e-14,-2.03018e-13,-1.17023e-14,3.19074e-13,-1.17015e-14,-2.03089e-13,3.09618e-13,-5.54395e-15,3.09688e-13
2.91e+09,Resistance,76.9662,74.8979,76.7682,74.2524,76.96,74.2545,76.7584,77.4115,73.4775,77.3996
2.91e+09,Inductance,7.32671e-09,2.38426e-09,5.13685e-09,1.95905e-09,7.32626e-09,1.95897e-09,5.13685e-09,7.34766e-09,1.59022e-09,7.34727e-09
2.91e+09,Conductance,5.0699e-06,4.2366e-06,5.86748e-06,3.16475e-06,5.09637e-06,3.15644e-06,5.8331e-06,7.93906e-06,1.16723e-06,7.98857e-06
2.91e+09,Capacitance,3.18992e-13,-3.55225e-14,-2.03024e-13,-1.17073e-14,3.19066e-13,-1.17064e-14,-2.03096e-13,3.09604e-13,-5.54083e-15,3.09673e-13
3.01e+09,Resistance,77.174,75.0082,76.9752,74.3284,77.1678,74.3306,76.9653,77.6367,73.512,77.6243
