Frequency,R11,R12,R21,R22,L11,L12,L21,L22,G11,G12,G21,G22,C11,C12,C21,C22
7.30E+09,1.89E+02,0.00E+00,0.00E+00,1.89E+02,4.29E-07,0.00E+00,0.00E+00,4.29E-07,5.80E-02,0.00E+00,0.00E+00,5.80E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
7.40E+09,1.90E+02,0.00E+00,0.00E+00,1.90E+02,4.29E-07,0.00E+00,0.00E+00,4.29E-07,5.88E-02,0.00E+00,0.00E+00,5.88E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
7.50E+09,1.92E+02,0.00E+00,0.00E+00,1.92E+02,4.29E-07,0.00E+00,0.00E+00,4.29E-07,5.96E-02,0.00E+00,0.00E+00,5.96E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
7.60E+09,1.93E+02,0.00E+00,0.00E+00,1.93E+02,4.29E-07,0.00E+00,0.00E+00,4.29E-07,6.04E-02,0.00E+00,0.00E+00,6.04E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
7.70E+09,1.94E+02,0.00E+00,0.00E+00,1.94E+02,4.29E-07,0.00E+00,0.00E+00,4.29E-07,6.12E-02,0.00E+00,0.00E+00,6.12E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
7.80E+09,1.96E+02,0.00E+00,0.00E+00,1.96E+02,4.29E-07,0.00E+00,0.00E+00,4.29E-07,6.19E-02,0.00E+00,0.00E+00,6.19E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
7.90E+09,1.97E+02,0.00E+00,0.00E+00,1.97E+02,4.29E-07,0.00E+00,0.00E+00,4.29E-07,6.27E-02,0.00E+00,0.00E+00,6.27E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
8.00E+09,1.98E+02,0.00E+00,0.00E+00,1.98E+02,4.29E-07,0.00E+00,0.00E+00,4.29E-07,6.35E-02,0.00E+00,0.00E+00,6.35E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
8.10E+09,1.99E+02,0.00E+00,0.00E+00,1.99E+02,4.29E-07,0.00E+00,0.00E+00,4.29E-07,6.43E-02,0.00E+00,0.00E+00,6.43E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
8.20E+09,2.01E+02,0.00E+00,0.00E+00,2.01E+02,4.28E-07,0.00E+00,0.00E+00,4.28E-07,6.51E-02,0.00E+00,0.00E+00,6.51E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
8.30E+09,2.02E+02,0.00E+00,0.00E+00,2.02E+02,4.28E-07,0.00E+00,0.00E+00,4.28E-07,6.59E-02,0.00E+00,0.00E+00,6.59E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
8.40E+09,2.03E+02,0.00E+00,0.00E+00,2.03E+02,4.28E-07,0.00E+00,0.00E+00,4.28E-07,6.67E-02,0.00E+00,0.00E+00,6.67E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
8.50E+09,2.04E+02,0.00E+00,0.00E+00,2.04E+02,4.28E-07,0.00E+00,0.00E+00,4.28E-07,6.75E-02,0.00E+00,0.00E+00,6.75E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
8.60E+09,2.05E+02,0.00E+00,0.00E+00,2.05E+02,4.28E-07,0.00E+00,0.00E+00,4.28E-07,6.83E-02,0.00E+00,0.00E+00,6.83E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
8.70E+09,2.07E+02,0.00E+00,0.00E+00,2.07E+02,4.28E-07,0.00E+00,0.00E+00,4.28E-07,6.91E-02,0.00E+00,0.00E+00,6.91E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
8.80E+09,2.08E+02,0.00E+00,0.00E+00,2.08E+02,4.28E-07,0.00E+00,0.00E+00,4.28E-07,6.99E-02,0.00E+00,0.00E+00,6.99E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
8.90E+09,2.09E+02,0.00E+00,0.00E+00,2.09E+02,4.28E-07,0.00E+00,0.00E+00,4.28E-07,7.07E-02,0.00E+00,0.00E+00,7.07E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
9.00E+09,2.10E+02,0.00E+00,0.00E+00,2.10E+02,4.28E-07,0.00E+00,0.00E+00,4.28E-07,7.15E-02,0.00E+00,0.00E+00,7.15E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
9.10E+09,2.11E+02,0.00E+00,0.00E+00,2.11E+02,4.28E-07,0.00E+00,0.00E+00,4.28E-07,7.23E-02,0.00E+00,0.00E+00,7.23E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
9.20E+09,2.12E+02,0.00E+00,0.00E+00,2.12E+02,4.28E-07,0.00E+00,0.00E+00,4.28E-07,7.31E-02,0.00E+00,0.00E+00,7.31E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
9.30E+09,2.14E+02,0.00E+00,0.00E+00,2.14E+02,4.28E-07,0.00E+00,0.00E+00,4.28E-07,7.39E-02,0.00E+00,0.00E+00,7.39E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
9.40E+09,2.15E+02,0.00E+00,0.00E+00,2.15E+02,4.28E-07,0.00E+00,0.00E+00,4.28E-07,7.47E-02,0.00E+00,0.00E+00,7.47E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
9.50E+09,2.16E+02,0.00E+00,0.00E+00,2.16E+02,4.28E-07,0.00E+00,0.00E+00,4.28E-07,7.54E-02,0.00E+00,0.00E+00,7.54E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
9.60E+09,2.17E+02,0.00E+00,0.00E+00,2.17E+02,4.28E-07,0.00E+00,0.00E+00,4.28E-07,7.62E-02,0.00E+00,0.00E+00,7.62E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
9.70E+09,2.18E+02,0.00E+00,0.00E+00,2.18E+02,4.28E-07,0.00E+00,0.00E+00,4.28E-07,7.70E-02,0.00E+00,0.00E+00,7.70E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
9.80E+09,2.19E+02,0.00E+00,0.00E+00,2.19E+02,4.28E-07,0.00E+00,0.00E+00,4.28E-07,7.78E-02,0.00E+00,0.00E+00,7.78E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
9.90E+09,2.20E+02,0.00E+00,0.00E+00,2.20E+02,4.28E-07,0.00E+00,0.00E+00,4.28E-07,7.86E-02,0.00E+00,0.00E+00,7.86E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
1.00E+10,2.22E+02,0.00E+00,0.00E+00,2.22E+02,4.28E-07,0.00E+00,0.00E+00,4.28E-07,7.94E-02,0.00E+00,0.00E+00,7.94E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
1.01E+10,2.23E+02,0.00E+00,0.00E+00,2.23E+02,4.28E-07,0.00E+00,0.00E+00,4.28E-07,8.02E-02,0.00E+00,0.00E+00,8.02E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
1.02E+10,2.24E+02,0.00E+00,0.00E+00,2.24E+02,4.28E-07,0.00E+00,0.00E+00,4.28E-07,8.10E-02,0.00E+00,0.00E+00,8.10E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
1.03E+10,2.25E+02,0.00E+00,0.00E+00,2.25E+02,4.28E-07,0.00E+00,0.00E+00,4.28E-07,8.18E-02,0.00E+00,0.00E+00,8.18E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
1.04E+10,2.26E+02,0.00E+00,0.00E+00,2.26E+02,4.28E-07,0.00E+00,0.00E+00,4.28E-07,8.26E-02,0.00E+00,0.00E+00,8.26E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
1.05E+10,2.27E+02,0.00E+00,0.00E+00,2.27E+02,4.28E-07,0.00E+00,0.00E+00,4.28E-07,8.34E-02,0.00E+00,0.00E+00,8.34E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
1.06E+10,2.28E+02,0.00E+00,0.00E+00,2.28E+02,4.28E-07,0.00E+00,0.00E+00,4.28E-07,8.42E-02,0.00E+00,0.00E+00,8.42E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
1.07E+10,2.29E+02,0.00E+00,0.00E+00,2.29E+02,4.28E-07,0.00E+00,0.00E+00,4.28E-07,8.50E-02,0.00E+00,0.00E+00,8.50E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
1.08E+10,2.30E+02,0.00E+00,0.00E+00,2.30E+02,4.28E-07,0.00E+00,0.00E+00,4.28E-07,8.58E-02,0.00E+00,0.00E+00,8.58E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
1.09E+10,2.31E+02,0.00E+00,0.00E+00,2.31E+02,4.28E-07,0.00E+00,0.00E+00,4.28E-07,8.66E-02,0.00E+00,0.00E+00,8.66E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
1.10E+10,2.32E+02,0.00E+00,0.00E+00,2.32E+02,4.28E-07,0.00E+00,0.00E+00,4.28E-07,8.74E-02,0.00E+00,0.00E+00,8.74E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
1.11E+10,2.33E+02,0.00E+00,0.00E+00,2.33E+02,4.28E-07,0.00E+00,0.00E+00,4.28E-07,8.82E-02,0.00E+00,0.00E+00,8.82E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
1.12E+10,2.35E+02,0.00E+00,0.00E+00,2.35E+02,4.28E-07,0.00E+00,0.00E+00,4.28E-07,8.89E-02,0.00E+00,0.00E+00,8.89E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
1.13E+10,2.36E+02,0.00E+00,0.00E+00,2.36E+02,4.28E-07,0.00E+00,0.00E+00,4.28E-07,8.97E-02,0.00E+00,0.00E+00,8.97E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
1.14E+10,2.37E+02,0.00E+00,0.00E+00,2.37E+02,4.28E-07,0.00E+00,0.00E+00,4.28E-07,9.05E-02,0.00E+00,0.00E+00,9.05E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
1.15E+10,2.38E+02,0.00E+00,0.00E+00,2.38E+02,4.28E-07,0.00E+00,0.00E+00,4.28E-07,9.13E-02,0.00E+00,0.00E+00,9.13E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
