Frequency(Hz),Value Type:,RLGC1[1 1] - ( Model1 ),RLGC1[1 2] - ( Model1 ),RLGC1[2 2] - ( Model2 )
1.75e+10,Conductance,0.00383974,-0.00062806,0.00383974
1.75e+10,Capacitance,1.9467e-12,-4.06138e-13,1.9467e-12
1.77e+10,Resistance,5.80496,0.528305,5.80496
1.77e+10,Inductance,1.07001e-08,3.50928e-09,1.07001e-08
1.77e+10,Conductance,0.00388148,-0.000634196,0.00388148
1.77e+10,Capacitance,1.9467e-12,-4.06137e-13,1.9467e-12
1.79e+10,Resistance,5.8396,0.532087,5.8396
1.79e+10,Inductance,1.06999e-08,3.50927e-09,1.06999e-08
1.79e+10,Conductance,0.00392275,-0.000640376,0.00392275
1.79e+10,Capacitance,1.9467e-12,-4.06137e-13,1.9467e-12
1.81e+10,Resistance,5.87142,0.534829,5.87142
1.81e+10,Inductance,1.06997e-08,3.50925e-09,1.06997e-08
1.81e+10,Conductance,0.00396446,-0.000646597,0.00396446
1.81e+10,Capacitance,1.9467e-12,-4.06137e-13,1.9467e-12
1.83e+10,Resistance,5.90365,0.538628,5.90365
1.83e+10,Inductance,1.06995e-08,3.50924e-09,1.06995e-08
1.83e+10,Conductance,0.00400617,-0.000652974,0.00400617
1.83e+10,Capacitance,1.9467e-12,-4.06138e-13,1.9467e-12
1.85e+10,Resistance,5.93596,0.54071,5.93596
1.85e+10,Inductance,1.06993e-08,3.50921e-09,1.06993e-08
1.85e+10,Conductance,0.00404762,-0.000658952,0.00404762
1.85e+10,Capacitance,1.9467e-12,-4.06138e-13,1.9467e-12
1.87e+10,Resistance,5.96744,0.544788,5.96744
1.87e+10,Inductance,1.06991e-08,3.50919e-09,1.06991e-08
1.87e+10,Conductance,0.00408941,-0.000665424,0.00408941
1.87e+10,Capacitance,1.9467e-12,-4.06136e-13,1.9467e-12
1.89e+10,Resistance,6.0018,0.546414,6.0018
1.89e+10,Inductance,1.0699e-08,3.50919e-09,1.0699e-08
1.89e+10,Conductance,0.0041303,-0.000671076,0.0041303
1.89e+10,Capacitance,1.9467e-12,-4.0614e-13,1.9467e-12
1.91e+10,Resistance,6.03342,0.548817,6.03342
1.91e+10,Inductance,1.06988e-08,3.50915e-09,1.06988e-08
1.91e+10,Conductance,0.00417179,-0.000677124,0.00417179
1.91e+10,Capacitance,1.9467e-12,-4.06136e-13,1.9467e-12
1.93e+10,Resistance,6.06243,0.552826,6.06243
1.93e+10,Inductance,1.06986e-08,3.50915e-09,1.06986e-08
1.93e+10,Conductance,0.00421398,-0.000683816,0.00421398
1.93e+10,Capacitance,1.9467e-12,-4.06139e-13,1.9467e-12
1.95e+10,Resistance,6.09459,0.555103,6.09459
1.95e+10,Inductance,1.06984e-08,3.50912e-09,1.06984e-08
1.95e+10,Conductance,0.00425525,-0.000689745,0.00425525
1.95e+10,Capacitance,1.9467e-12,-4.06135e-13,1.9467e-12
1.97e+10,Resistance,6.12618,0.558102,6.12618
1.97e+10,Inductance,1.06983e-08,3.50912e-09,1.06983e-08
1.97e+10,Conductance,0.00429667,-0.000695911,0.00429667
1.97e+10,Capacitance,1.9467e-12,-4.06138e-13,1.9467e-12
1.99e+10,Resistance,6.15363,0.55911,6.15363
1.99e+10,Inductance,1.06981e-08,3.50911e-09,1.06981e-08
1.99e+10,Conductance,0.00433874,-0.00070206,0.00433874
1.99e+10,Capacitance,1.9467e-12,-4.06137e-13,1.9467e-12
2.01e+10,Resistance,6.18802,0.563691,6.18802
2.01e+10,Inductance,1.06979e-08,3.50908e-09,1.06979e-08
2.01e+10,Conductance,0.00437965,-0.000708179,0.00437965
2.01e+10,Capacitance,1.9467e-12,-4.06137e-13,1.9467e-12
2.03e+10,Resistance,6.21559,0.564125,6.21559
2.03e+10,Inductance,1.06978e-08,3.50905e-09,1.06978e-08
2.03e+10,Conductance,0.00442154,-0.000714123,0.00442154
2.03e+10,Capacitance,1.9467e-12,-4.06135e-13,1.9467e-12
2.05e+10,Resistance,6.25155,0.572062,6.25155
2.05e+10,Inductance,1.06976e-08,3.50905e-09,1.06976e-08
2.05e+10,Conductance,0.0044624,-0.000720809,0.0044624
2.05e+10,Capacitance,1.9467e-12,-4.06136e-13,1.9467e-12
2.07e+10,Resistance,6.27881,0.570855,6.27881
2.07e+10,Inductance,1.06975e-08,3.50904e-09,1.06975e-08
