R,L,G,C 
0.183627113,1.06E-08,1.24E-06,-1.26E-13
0.22550851,2.43E-08,5.98E-07,-2.77E-13
0.509079404,4.53E-08,-5.30E-06,-8.31E-13
1.158533785,1.49E-07,-0.000472166,-2.10E-11
12.28550706,4.14E-07,0.002565985,8.49E-11
4.00E+08,4.00E+08,4.00E+08,4.00E+08
14.33050147,4.14E-07,0.003386191,8.47E-11
1.292935229,1.49E-07,-0.000620591,-2.10E-11
14.50372332,4.11E-07,0.003403406,8.63E-11
0.56007686,4.52E-08,-5.05E-06,-8.30E-13
1.874657566,9.24E-08,-0.000268041,-1.00E-11
14.63867361,4.10E-07,0.00340296,8.63E-11
0.240143042,2.43E-08,1.09E-06,-2.76E-13
0.606640462,4.48E-08,-5.58E-06,-7.89E-13
1.48570881,1.48E-07,-0.000621678,-2.08E-11
14.66756948,4.10E-07,0.003410318,8.64E-11
0.203952386,1.06E-08,1.23E-06,-1.25E-13
0.377655464,1.75E-08,1.38E-06,-2.38E-13
0.618780699,4.46E-08,-5.52E-06,-7.86E-13
1.911762977,9.21E-08,-0.000268003,-1.00E-11
14.65490844,4.10E-07,0.003403403,8.63E-11
0.124481311,6.66E-09,7.58E-07,-6.72E-14
0.214635412,1.05E-08,9.84E-07,-1.15E-13
0.271321723,2.40E-08,7.73E-07,-2.55E-13
0.622230867,4.46E-08,-5.59E-06,-7.86E-13
1.471991216,1.48E-07,-0.000621665,-2.09E-11
14.58929787,4.10E-07,0.00340374,8.63E-11
0.093644175,3.41E-09,8.97E-08,-3.59E-14
0.150709519,5.14E-09,3.45E-07,-5.86E-14
0.221230924,1.05E-08,1.01E-06,-1.14E-13
0.390571693,1.75E-08,1.44E-06,-2.36E-13
0.629659618,4.46E-08,-5.56E-06,-7.86E-13
1.928719068,9.22E-08,-0.000268182,-1.00E-11
14.59321563,4.10E-07,0.003407514,8.64E-11
0.05972842,2.28E-09,9.84E-08,-2.04E-14
0.095339815,3.38E-09,1.96E-07,-3.27E-14
0.134076955,6.57E-09,7.66E-07,-6.09E-14
0.221148388,1.05E-08,1.02E-06,-1.14E-13
0.273989188,2.40E-08,7.80E-07,-2.54E-13
0.623965622,4.46E-08,-5.54E-06,-7.86E-13
1.45634413,1.48E-07,-0.000623011,-2.09E-11
14.64536228,4.10E-07,0.003405839,8.64E-11
0.036143392,1.25E-09,-1.82E-07,-1.12E-14
0.060944377,1.81E-09,4.67E-07,-1.77E-14
0.096872732,3.36E-09,2.20E-07,-3.25E-14
0.153456905,5.12E-09,3.00E-07,-5.82E-14
0.221934319,1.05E-08,1.01E-06,-1.14E-13
0.390143119,1.75E-08,1.47E-06,-2.36E-13
0.628566673,4.46E-08,-5.54E-06,-7.85E-13
1.935629357,9.21E-08,-0.000267445,-1.00E-11
14.6149102,4.10E-07,0.003407467,8.64E-11
0.02197586,8.61E-10,-1.67E-07,-5.69E-15
0.037014996,1.24E-09,-1.78E-07,-1.02E-14
0.061763715,2.25E-09,2.44E-07,-1.85E-14
0.097359088,3.36E-09,2.34E-07,-3.25E-14
0.135423671,6.56E-09,7.58E-07,-6.09E-14
0.222236302,1.05E-08,1.02E-06,-1.14E-13
0.277044885,2.40E-08,7.94E-07,-2.54E-13
0.631501014,4.46E-08,-5.52E-06,-7.84E-13
1.468230736,1.48E-07,-0.000623904,-2.09E-11
14.62574969,4.10E-07,0.003408855,8.64E-11
0.015209011,4.85E-10,2.94E-07,-2.71E-15
0.022652592,6.91E-10,-1.69E-07,-4.94E-15
0.037255922,1.23E-09,-2.39E-07,-1.02E-14
0.061770509,1.80E-09,4.77E-07,-1.76E-14
0.097088548,3.36E-09,2.29E-07,-3.25E-14
0.153286765,5.11E-09,2.99E-07,-5.81E-14
0.222224276,1.05E-08,1.04E-06,-1.14E-13
0.391048092,1.75E-08,1.48E-06,-2.36E-13
0.627178715,4.46E-08,-5.52E-06,-7.85E-13
1.93188091,9.21E-08,-0.000267628,-1.00E-11
14.65830287,4.10E-07,0.003407331,8.64E-11
0.010246481,3.37E-10,2.69E-07,-1.08E-15
0.015485083,4.80E-10,2.59E-07,-2.51E-15
0.022792672,8.48E-10,-1.65E-07,-5.16E-15
0.037065842,1.23E-09,-2.69E-07,-1.02E-14
0.061378826,2.25E-09,2.39E-07,-1.85E-14
0.096475447,3.36E-09,2.21E-07,-3.25E-14
0.134125845,6.56E-09,7.69E-07,-6.09E-14
0.220260411,1.05E-08,1.03E-06,-1.14E-13
0.270428236,2.40E-08,7.74E-07,-2.54E-13
0.620465057,4.46E-08,-5.56E-06,-7.85E-13
1.440259297,1.48E-07,-0.000622801,-2.09E-11
14.66550143,4.10E-07,0.003404568,8.64E-11
0.006834007,1.92E-10,2.59E-07,-3.23E-17
0.0103088,2.72E-10,2.39E-07,-9.18E-16
0.015722562,4.78E-10,2.57E-07,-2.49E-15
0.022984078,6.88E-10,-1.40E-07,-4.89E-15
0.037019957,1.23E-09,-2.68E-07,-1.02E-14
0.061385771,1.80E-09,4.74E-07,-1.76E-14
0.096676883,3.36E-09,2.28E-07,-3.25E-14
